1980-01-05	1	2	10	rock with you	michael jackson	Epic 50797
1980-01-05	2	1	13	do you love what you feel	rufus and chaka khan	MCA 41131
1980-01-05	3	3	12	move your boogie body	bar-kays	Mercury 76015
1980-01-05	4	4	16	i wanna be your lover	prince	Warner 49050
1980-01-05	5	6	9	send one your love	stevie wonder	
1980-01-05	6	10	11	peanut butter	twennynine featuring lenny white	Elektra 46552
1980-01-05	7	5	13	rapper's delight	sugarhill gang	Sugar Hill 542
1980-01-05	8	7	18	ladies night	kool & the gang	
1980-01-05	9	9	19	cruisin'	smokey robinson	Tamla 54306
1980-01-05	10	14	7	gimme some time	natalie cole and peabo bryson	Capitol 4804
1980-01-05	11	13	11	sparkle	cameo	Chocolate City 3202
1980-01-05	12	11	14	glide	pleasure	Fantasy 874
1980-01-05	13	15	12	just a touch of love	slave	Cotillion 45005
1980-01-05	14	18	6	forever mine	the o'jays	Philadelphia I. 3727
1980-01-05	15	20	15	the second time around	shalamar	Solar 11709
1980-01-05	16	22	9	haven't you heard	patrice rushen	Elektra 46551
1980-01-05	17	12	12	you know how to love me	phyllis hyman	Arista 0463
1980-01-05	18	8	14	still	commodores	Motown 1474
1980-01-05	19	29	6	steppin' (out)	the gap band	Mercury 76021
1980-01-05	20	21	10	no more tears (enough is enough)	barbra streisand/donna summer	Columbia 11125
1980-01-05	21	38	6	i shoulda loved ya	narada michael walden	Atlantic 3631
1980-01-05	22	16	13	stranger	ltd	A&M 2192
1980-01-05	23	17	17	don't let go	isaac hayes	Polydor 2011
1980-01-05	24	31	9	i want you for myself	george duke	Epic 50792
1980-01-05	25	34	7	special lady	ray, goodman & brown	Polydor 2033
1980-01-05	26	24	14	i call your name	switch	Gordy 7175
1980-01-05	27	19	9	nobody knows	ashford & simpson	Warner 49099
1980-01-05	28	25	11	deja vu	dionne warwick	Arista 0459
1980-01-05	29	27	9	it's my house	diana ross	Motown 1471
1980-01-05	30	30	8	what's the name of your love?	the emotions	ARC 11134
1980-01-05	31	32	9	pull my strings	lakeside	Solar 11746
1980-01-05	32	23	10	love gun	rick james	Gordy 7176
